Vz,periodicity error,period
9.87600000000000105640642717938493256e-02,6.41530933357602068063737399705852626e-02,6.55580000000000069348971010185778141e+01
9.87610000000000105646542946161159371e-02,6.41467135720226682454262003169604856e-02,6.55580000000000069348971010185778141e+01
9.87620000000000105652443174383825486e-02,6.41403680284582934825764833289594686e-02,6.55580000000000069348971010185778141e+01
9.87630000000000105649873073133948598e-02,6.41340567165811444279714458565864249e-02,6.55580000000000069348971010185778141e+01
9.87640000000000105638832642411528706e-02,6.41277796478542839516862167720391568e-02,6.55580000000000069348971010185778141e+01
9.87650000000000105636262541161651818e-02,6.41215368336893415119803680957209551e-02,6.55580000000000069348971010185778141e+01
9.87660000000000105650633098856860936e-02,6.41153282854469497657287726436543580e-02,6.55580000000000069348971010185778141e+01
9.87670000000000105643827832870712546e-02,6.41091540144363099245923123585508703e-02,6.55580000000000069348971010185778141e+01
9.87680000000000105653963225829650163e-02,6.41030140319151937256921538116060402e-02,6.55580000000000069348971010185778141e+01
9.87690000000000105642922795107230272e-02,6.41005924152157591070388353773400712e-02,6.55580000000000069348971010185778141e+01
9.87700000000000105648823023329896387e-02,6.41133704483574173256760484309387733e-02,6.55580000000000069348971010185778141e+01
9.87710000000000105654723251552562502e-02,6.41261817891574105660555438162748873e-02,6.55580000000000069348971010185778141e+01
9.87720000000000105643682820830142610e-02,6.41390264193358525895730727654064773e-02,6.55580000000000069348971010185778141e+01
9.87730000000000105653818213789080227e-02,6.41519043205747654742272180735338326e-02,6.55580000000000069348971010185778141e+01
9.87740000000000105638542618330388834e-02,6.41648154745182126453485619861972122e-02,6.55580000000000069348971010185778141e+01
9.87750000000000105661383505498140956e-02,6.41777598627724319952610309536952372e-02,6.55580000000000069348971010185778141e+01
9.87760000000000105667283733720807071e-02,6.41812648039981468327521644365755702e-02,6.55589999999999974988895701244473457e+01
9.87770000000000105647772973525844176e-02,6.41745735256125723045699948371032086e-02,6.55589999999999974988895701244473457e+01
9.87780000000000105645202872275967287e-02,6.41678858937303685541970935704095319e-02,6.55589999999999974988895701244473457e+01
9.87790000000000105651103100498633403e-02,6.41612019093531253455630765317778676e-02,6.55589999999999974988895701244473457e+01
9.87800000000000105657003328721299518e-02,6.41545215734822311960793334979472092e-02,6.55589999999999974988895701244473457e+01
